Rank,About,Category,Subscribers,Audience,Authentic,Engagement
,,,,,,
135,‌jloJennifer LopezjloJennifer Lopez,MusicCinema & Actors/actresses,248.6M,United States,556.6K,817K
232,‌vindieselVin DieselvindieselVin Diesel,Cinema & Actors/actresses,96.6M,United States,602K,773.7K
33,‌realstraykidsStray KidsrealstraykidsStray Kids,Music,25.8M,Indonesia,1.6M,1.9M
4,‌meganfoxMegan FoxmeganfoxMegan Fox,Cinema & Actors/actresses,21.2M,United States,1.4M,2.3M
538,‌theweekndAbel TesfayetheweekndAbel Tesfaye,Music,61.2M,United States,509.7K,690.4K
6,‌johnnydeppJohnny DeppjohnnydeppJohnny Depp,Cinema & Actors/actressesMusic,28.2M,United States,956.3K,1.3M
72267,‌emrataEmily RatajkowskiemrataEmily Ratajkowski,Modeling,30.2M,United States,837.7K,1.2M
87,‌ester_expositoEster 🌙ester_expositoEster 🌙,Cinema & Actors/actresses,27.4M,Mexico,821.4K,1.2M
92,‌judebellinghamJude BellinghamjudebellinghamJude Bellingham,LifestyleSports with a ball,13M,United Kingdom,975.6K,2.5M
107,‌haileybieberHailey Rhode Baldwin BieberhaileybieberHailey Rhode Baldwin Bieber,LifestyleModeling,49.8M,United States,482.2K,648.7K
11,"‌feliciathegoatTyler, The CreatorfeliciathegoatTyler, The Creator",Music,14.2M,United States,1M,1.7M
1226,‌iamhalseyhalseyiamhalseyhalsey,Music,31.8M,United States,489.6K,644.3K
1360,‌thenotoriousmmaConor McGregor OfficialthenotoriousmmaConor McGregor Official,Fitness & Gym,46.5M,United States,329.6K,438.1K
14190,‌enhypenENHYPENenhypenENHYPEN,Lifestyle,13M,Indonesia,1.3M,1.6M
159,‌justintimberlakeJustin TimberlakejustintimberlakeJustin Timberlake,MusicArt/ArtistsCinema & Actors/actresses,70.3M,United States,214K,285.8K
16,‌asaprockyA$AP ROCKYasaprockyA$AP ROCKY,Music,17.1M,United States,689.3K,1.2M
1719,‌hoooooyeonyHoyeonhoooooyeonyHoyeon,LifestyleMusic,21.1M,South Korea,699.3K,915.3K
1844,‌hannahstockingHannah StockinghannahstockingHannah Stocking,Modeling,25.2M,United States,570.1K,764.1K
1923,‌cznburakBurak ÖzdemircznburakBurak Özdemir,Food & Cooking,48.7M,Turkey,243.9K,330.7K
204,‌evcenfFahriye Evcen ÖzçivitevcenfFahriye Evcen Özçivit,LifestyleBeauty,13.6M,Turkey,935.5K,1.2M
21,‌finnwolfhardofficialFinn WolfhardfinnwolfhardofficialFinn Wolfhard,MusicCinema & Actors/actresses,24.7M,Brazil,466.6K,607.3K
222,‌kingryanRyan GarciakingryanRyan Garcia,Fitness & Gym,10.4M,United States,944.9K,1.4M
2377,‌aron.piperARON🌜🌞aron.piperARON🌜🌞,MusicLifestyle,13.1M,Brazil,450.4K,848.3K
247,‌bellapoarchBella PoarchbellapoarchBella Poarch,LifestyleMusic,13M,United States,638.2K,824.9K
2511,‌realbarbarapalvinBarbara PalvinrealbarbarapalvinBarbara Palvin,ModelingFashion,19.4M,Russia,403.9K,545.2K
2659,‌salmahayekSalma Hayek PinaultsalmahayekSalma Hayek Pinault,Cinema & Actors/actresses,24.9M,United States,338.1K,417.4K
2723,‌adamweitsmanAdam WeitsmanadamweitsmanAdam Weitsman,Business & Careers,20M,Russia,372.2K,455.5K
2876,‌jy_piece정연 (JEONGYEON)jy_piece정연 (JEONGYEON),,7.5M,Brazil,950.3K,1.2M
2955,‌larissamanoelaLarissa ManoelalarissamanoelaLarissa Manoela,Cinema & Actors/actresses,49.2M,Brazil,100.7K,167K
3078,‌thebursinKerem BürsinthebursinKerem Bürsin,Cinema & Actors/actresses,11.3M,Russia,568.5K,728.7K
3123,‌neslihanatagulNeslihan Atagül DoğuluneslihanatagulNeslihan Atagül Doğulu,Cinema & Actors/actressesModeling,14.1M,Turkey,463.3K,587.3K
322,‌jensenacklesJensen AcklesjensenacklesJensen Ackles,Cinema & Actors/actresses,10.9M,United States,547.4K,711.2K
3349,‌ninaNina DobrevninaNina Dobrev,Cinema & Actors/actresses,26.4M,Brazil,195.2K,280.1K
3476,‌amauryguichonAmaury GuichonamauryguichonAmaury Guichon,Food & Cooking,11.6M,United States,515.7K,628.6K
35632,‌leonardodicaprioLeonardo DiCaprioleonardodicaprioLeonardo DiCaprio,Cinema & Actors/actresses,59.1M,United States,88.1K,108.2K
3639,‌snejanaonopka15Snejana Onopkasnejanaonopka15Snejana Onopka,Modeling,13.8M,Russia,388.4K,466.9K
3759,‌irinashaykirina shaykirinashaykirina shayk,Modeling,22.3M,Russia,214.4K,271.7K
381196,‌rosiehwRosie HWrosiehwRosie HW,Modeling,18.7M,United States,222.7K,319.9K
3925,‌dk_is_dokyeom도겸dk_is_dokyeom도겸,LifestyleMusic,5.3M,Indonesia,987.9K,1.1M
40477,‌tatawerneckTata WernecktatawerneckTata Werneck,Cinema & Actors/actressesFamily,56.1M,Brazil,59.1K,92K
4147,‌c.syresmithJaden Smithc.syresmithJaden Smith,Cinema & Actors/actressesLifestyle,19.9M,United States,144.3K,223.3K
42257,‌hasbulla.hushetskiyHasbulla Magomedovhasbulla.hushetskiyHasbulla Magomedov,Lifestyle,8.6M,Russia,333.6K,505.2K
4352,‌subo_mСубо Мамедовsubo_mСубо Мамедов,Shows,11.4M,Russia,289.5K,353.6K
4448,‌tamaaevТамаев АсхабtamaaevТамаев Асхаб,Fitness & Gym,9.5M,Russia,294.6K,419.3K
4589,‌anastasiya_kvitkoAK 🤍anastasiya_kvitkoAK 🤍,LifestyleModeling,12.7M,United States,242.2K,296.5K
4619,‌jeremyrennerJeremy RennerjeremyrennerJeremy Renner,ShowsCinema & Actors/actresses,21M,United States,149.4K,179.2K
47463,‌miketysonMike TysonmiketysonMike Tyson,Fitness & Gym,21.5M,United States,133.7K,171.9K
4821,‌vladimirshmondenkoVLADIMIR1 & mr ANATOLYvladimirshmondenkoVLADIMIR1 & mr ANATOLY,Fitness & Gym,5.9M,Ukraine,494.2K,623.4K
49230,‌mathildtantotMathildemathildtantotMathilde,LifestyleModeling,9.6M,United States,245.4K,371.7K
5046,‌t22feltonTom Feltont22feltonTom Felton,MusicCinema & Actors/actresses,11.9M,United States,226.6K,293.6K
